Frequencies (Hz),S11
282600000,-0.124550035719655 - 0.403424372399426i
284050000,-0.136253614694466 - 0.397264290559863i
285500000,-0.140433810907521 - 0.383170277330515i
286950000,-0.159218194126643 - 0.372432374335754i
288400000,-0.164689337251589 - 0.352536271071470i
289850000,-0.173006741016018 - 0.325482462157792i
291300000,-0.174642558006722 - 0.299934102773188i
292750000,-0.168190832381521 - 0.269323172691731i
294200000,-0.154711325733799 - 0.240659990023862i
295650000,-0.139828738686122 - 0.221942192197478i
297100000,-0.116996800084043 - 0.203747252247802i
298550000,-0.0990144483347064 - 0.197311685264593i
300000000,-0.0830043477539508 - 0.190318564456955i
